-5.000000	-0.064219	-0.037344	-0.032031
-4.999000	-0.067656	-0.036719	-0.030469
-4.998000	-0.071719	-0.039688	-0.032813
-4.997000	-0.077344	-0.042031	-0.035938
-4.996000	-0.085937	-0.045625	-0.050156
-4.995000	-0.110938	-0.056875	-0.068594
-4.994000	-0.106563	-0.055000	-0.058750
-4.993000	-0.082500	-0.042500	-0.033594
-4.992000	-0.061562	-0.034219	-0.022500
-4.991000	-0.050156	-0.029688	-0.012813
-4.990000	-0.042500	-0.026875	-0.011250
-4.989000	-0.042344	-0.028750	-0.011719
-4.988000	-0.037812	-0.025781	-0.009062
-4.987000	-0.033125	-0.024219	-0.006719
-4.986000	-0.027969	-0.021875	0.003125
-4.985000	-0.004687	-0.013281	0.017344
-4.984000	-0.007031	-0.015938	0.008906
-4.983000	-0.033438	-0.024219	-0.012969
-4.982000	-0.051875	-0.031563	-0.023281
-4.981000	-0.064531	-0.038281	-0.032344
-4.980000	-0.066094	-0.037812	-0.031250
-4.979000	-0.068125	-0.038125	-0.029688
-4.978000	-0.071719	-0.039844	-0.032813
-4.977000	-0.076719	-0.040938	-0.037812
-4.976000	-0.084375	-0.045625	-0.048594
-4.975000	-0.111250	-0.055781	-0.068125
-4.974000	-0.103906	-0.055000	-0.057969
-4.973000	-0.080937	-0.043906	-0.033125
-4.972000	-0.059219	-0.035000	-0.020938
-4.971000	-0.047188	-0.031094	-0.011406
-4.970000	-0.040156	-0.026562	-0.010156
-4.969000	-0.039688	-0.026406	-0.010156
-4.968000	-0.038125	-0.023125	-0.006250
-4.967000	-0.031875	-0.022344	-0.002500
-4.966000	-0.026562	-0.018750	0.006562
-4.965000	-0.004687	-0.009687	0.021250
-4.964000	-0.009375	-0.012813	0.012813
-4.963000	-0.033438	-0.023125	-0.010625
-4.962000	-0.052969	-0.030000	-0.021875
-4.961000	-0.065781	-0.036250	-0.030469
-4.960000	-0.065781	-0.035781	-0.033125
-4.959000	-0.069219	-0.037500	-0.032031
-4.958000	-0.074063	-0.038906	-0.035938
-4.957000	-0.080625	-0.041563	-0.038906
-4.956000	-0.087969	-0.045469	-0.050313
-4.955000	-0.111250	-0.056875	-0.068125
-4.954000	-0.105938	-0.055313	-0.057500
-4.953000	-0.084062	-0.042500	-0.027187
-4.952000	-0.062969	-0.036250	-0.017500
-4.951000	-0.051875	-0.031094	-0.009375
-4.950000	-0.043906	-0.027187	-0.007031
-4.949000	-0.042344	-0.026406	-0.007812
-4.948000	-0.039844	-0.026875	-0.005781
-4.947000	-0.034688	-0.025000	-0.001719
-4.946000	-0.028125	-0.021875	0.006094
-4.945000	-0.005938	-0.014063	0.020469
-4.944000	-0.009844	-0.016094	0.011562
-4.943000	-0.032344	-0.023125	-0.012031
-4.942000	-0.049531	-0.030781	-0.024531
-4.941000	-0.060625	-0.036719	-0.032656
-4.940000	-0.065312	-0.036719	-0.031250
-4.939000	-0.067812	-0.038594	-0.031563
-4.938000	-0.074375	-0.040156	-0.033438
-4.937000	-0.078125	-0.042813	-0.039219
